ticker,year,sector,industry,market_cap,revenue,revenue_growth,cogs_pct_revenue,gross_margin,sga_pct_revenue,rd_pct_revenue,da_pct_revenue,da_pct_ppe,operating_margin,interest_pct_debt,tax_rate,net_margin,ebitda_margin,ar_days,inventory_days,ap_days,current_ratio,debt_to_equity,debt_to_assets,ppe_pct_assets,goodwill_pct_assets,cash_pct_assets,capex_pct_revenue,ocf_pct_revenue,fcf_pct_revenue,sbc_pct_revenue,dividend_pct_ni,log_revenue,log_assets,log_market_cap,total_assets,total_debt,net_income,capex,net_debt_issuance,net_equity_issuance
MMM,2022,Industrials,Conglomerates,78509899776,34229000000.0,,0.5618627479622542,0.4381372520377458,0.2643664728738789,0.05439831721639545,0.05349265242922668,0.18297191965624063,0.11937246194747145,0.02741026401661228,0.09574468085106383,0.1687750153378714,0.2537322153729294,48.32685734318853,101.95403494176372,60.4094737936772,1.5423711015436312,1.1411645226811105,0.3628242385103864,0.21541276504143794,0.3764718544828328,0.07867829081907222,0.0510970229921996,0.16334102661485875,0.11224400362265916,0.00768354319436735,0.5831746581270556,24.256339074951335,24.56174993906121,25.086490565592264,46455000000.0,16855000000.0,5777000000.0,1749000000.0,-838000000.0,-1464000000.0
MMM,2023,Industrials,Conglomerates,78509899776,24610000000.0,-0.2810190189605305,0.6088175538399024,0.3911824461600975,0.7800893945550589,0.0468915075172694,0.08073953677366924,0.23804959865820055,-0.4357984559122308,0.05617575070145066,,-0.2842340511986997,-0.33900853311661927,53.40776107273466,96.07955683107522,67.62597610625376,1.0707328234294307,3.4410435497124077,0.3311783313562673,0.16502570185844206,0.15233293792012653,0.11338473705021748,0.06562373019097928,0.27143437626980904,0.20581064607882973,0.011133685493701747,,23.92641870139001,24.646822078208,25.086490565592264,50580000000.0,16751000000.0,-6995000000.0,1615000000.0,-46000000.0,-33000000.0
MMM,2024,Industrials,Conglomerates,78509899776,24575000000.0,-0.001422186103210099,0.5878738555442523,0.4121261444557477,0.17175991861648016,0.044150559511698884,0.05546286876907426,0.18448835950189496,0.19621566632756868,0.09130634774609016,0.1668395932766134,0.16980671414038656,0.3000203458799593,47.43886063072228,93.42908562331279,67.20426386100921,1.4111584932480454,3.349768875192604,0.3271796929868566,0.1853115280425404,0.18789505367713455,0.14046352964783787,0.04805696846388606,0.07401831129196337,0.025961342828077313,0.011759918616480163,0.47495806374311045,23.924995503020334,24.408839834076705,25.086490565592264,39868000000.0,13044000000.0,4173000000.0,1181000000.0,5506000000.0,-1801000000.0
MMM,2025,Industrials,Conglomerates,78509899776,24948000000.0,0.015178026449643944,0.6008898508898509,0.39911014911014914,0.16021324354657687,0.04685746352413019,0.05242905242905243,0.1841994085340093,0.19203944203944204,0.07506744961117283,0.238072632328507,0.13027096360429694,0.25921917588584253,51.68931377264711,89.1378160229471,65.7881395503969,1.7078686816050026,2.654729302717506,0.33397821535525934,0.1881907083984841,0.1993480507778337,0.13873797471709115,0.03647586980920314,0.09243225909892576,0.05595638928972262,0.009018759018759018,0.4806153846153846,23.94005949565037,24.353800880112605,25.086490565592264,37733000000.0,12602000000.0,3250000000.0,910000000.0,-716000000.0,-3251000000.0
AOS,2022,Industrials,Specialty Industrial Machinery,9091179520,3753900000.0,,0.6458083593063214,0.3541916406936786,0.1787207970377474,0.0,0.020485361890300754,0.12393231265108784,0.17547084365593116,0.025620059961842464,-0.05364327223960662,0.062788033778204,0.08258078265270785,56.51136151735528,77.74862847007384,94.21977478034897,1.748769000214087,0.20993305487211764,0.11010413228100711,0.18620772439456232,0.2903700147045584,0.11739639288179336,0.018727190388662458,0.10426489783958016,0.08553770745091771,0.0029569247982098616,0.7518031395842172,22.046061136769783,21.926928593512507,22.93057049700369,3332300000.0,366900000.0,235700000.0,70300000.0,150600000.0,-403500000.0
AOS,2023,Industrials,Specialty Industrial Machinery,9091179520,3852800000.0,0.026345933562428314,0.6146179401993356,0.3853820598006645,0.18879775747508307,0.0,0.020322882059800665,0.12334593572778828,0.19658430232558138,0.07731958762886598,0.24117246080436264,0.14446636212624583,0.2138185215946844,56.462832225913616,76.66849662162163,92.54476351351352,1.5871152015233259,0.08414660594231187,0.048290239273157225,0.19751703537757864,0.30184511030212513,0.10575935778960142,0.01884343853820598,0.17397736710963455,0.15513392857142858,0.00298484219269103,0.3296802012217032,22.072065993898274,21.890750990212045,22.93057049700369,3213900000.0,155200000.0,556600000.0,72600000.0,-218100000.0,-306500000.0
AOS,2024,Industrials,Specialty Industrial Machinery,9091179520,3818100000.0,-0.009006436877076363,0.6186323040255625,0.38136769597443754,0.19363033969775542,0.0,0.020638537492470077,0.11912320483749055,0.18773735627668212,0.03091832025842178,0.23880171184022825,0.1397553757104319,0.20599250936329588,51.75637096985411,82.22544453852667,90.97184589331076,1.5524966562639322,0.11505176533050172,0.06688271604938271,0.20416666666666666,0.3341975308641975,0.07395061728395062,0.02828632042115188,0.15237945575024225,0.12409313532909039,0.00390246457662188,0.3568215892053973,22.063018753892294,21.89883916705929,22.93057049700369,3240000000.0,216700000.0,533600000.0,108000000.0,69700000.0,-305800000.0
AOS,2025,Industrials,Specialty Industrial Machinery,9091179520,3830200000.0,0.0031691155286661665,0.6116651871964911,0.38833481280350896,0.19826640906480078,0.0,0.022218160931544044,0.12488993249192838,0.19006840373870817,0.07027589796980739,0.236190742553489,0.14260351939846483,0.21244321445355335,55.49044436321863,74.67325422571282,78.53700700017073,1.4973913043478262,0.10339074273412271,0.06112383861524755,0.2168130329642357,0.3413834796996309,0.05552373679521446,0.018484674429533707,0.16103597723356483,0.1425513028040311,0.0036029450159260614,0.3582936653240571,22.066182858357816,21.86837995958413,22.93057049700369,3142800000.0,192100000.0,546200000.0,70800000.0,-37600000.0,-400800000.0
ABT,2022,Healthcare,Medical Devices,192378880000,43653000000.0,,0.43850365381531625,0.5614963461846838,0.257668430577509,0.06615811055368474,0.074840217167205,0.3565815324165029,0.19155613588985865,0.031496951907879885,0.16530219118709366,0.15882069960827436,0.2778961354317,51.99115753785536,117.70687493469856,87.84635879218472,1.6285105558783652,0.4800433545590028,0.23799672210430156,0.12308229667642871,0.44672076090169,0.13275477578656064,0.040707396971571254,0.21948090623783015,0.1787735092662589,0.015691934116784642,0.47728256166161837,24.49953784541557,25.033232401097305,25.982732597848134,74438000000.0,17716000000.0,6933000000.0,1777000000.0,-699000000.0,-3795000000.0
ABT,2023,Healthcare,Medical Devices,192378880000,40109000000.0,-0.08118571461297042,0.44815378094691966,0.5518462190530804,0.27298112643047695,0.06833877683312972,0.0808546710214665,0.31938152452235574,0.16150988556184398,0.04076017404658305,0.14120648259303722,0.14268618015906653,0.2628836420753447,59.74282579969583,133.41029207232268,87.21418636995828,1.6378874358789104,0.40250341257372446,0.21345644275684977,0.1386893217144262,0.44382221979402847,0.09418963586199361,0.054900396419756164,0.18103168864843303,0.12613129222867686,0.016056246727667107,0.6213524375327626,24.414866585003967,25.01665249647068,25.982732597848134,73214000000.0,15628000000.0,5723000000.0,2202000000.0,-2475000000.0,-1227000000.0
